Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
187,3:59.34,,Matthew CENTROWITZ,18 Oct 1989,USA,6f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1083,0
188,3:59.35,,Derek JOHNSON,11 Oct 1999,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1138,0
189,3:59.38,,Spencer PICKREN,,USA,7f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1082,0
190,3:59.39,,Winslow ATKESON,,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1137,0
191,3:59.41,,Liam BACK,01 Jan 2002,NZL,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1137,0
192,3:59.45,,Damian HACKETT,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1137,0
192,3:59.45,,Bradley GIBLIN,30 Jul 2004,GBR,2f6,,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",12 Apr 2024,1081,0
194,3:59.49,,Jake GEBHARDT,,USA,9f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1136,0
195,3:59.50,,Nick PLANT,30 Oct 2003,USA,4f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1136,0
196,3:59.52,,Damien DILCHER,,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",25 Feb 2024,1136,0
197,3:59.54,,Evan JENKINS,29 Mar 2004,USA,8f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1080,0
198,3:59.55,,Joshua THOMPSON,09 May 1993,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1135,0
198,3:59.55,,Declan RYMER,,USA,5f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1135,0
198,3:59.55,,Rory LEONARD,13 Feb 2001,GBR,3f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1135,0
201,3:59.57,,Evan ADDISON,18 Feb 2000,USA,3f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1135,0
202,3:59.59,,Freddy COLLINS,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,0
203,3:59.61,,Hibiki OBARA,10 Nov 2001,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,0
204,3:59.62,,Zach HILLHOUSE,,USA,2f7,,"Franklin Field, Philadelphia, PA (USA)",13 Jun 2024,1079,0
205,3:59.71,,Ben SHEARER,,USA,4f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1133,0
205,3:59.71,,Dalton HENGST,12 Dec 1999,USA,1f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,0
207,3:59.72,,Robert HEPPENSTALL,28 Feb 1997,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1133,0
207,3:59.72,,Craig NOWAK,20 Apr 1994,USA,11,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1078,0
209,3:59.75,,Charles HARDERS,,USA,2f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,0
210,3:59.79,,Oliver NEWMAN,07 May 2000,GBR,4f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1077,0
211,3:59.81,,Evan THORNTON-SHERMAN,16 Mar 2004,USA,3f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,0
212,3:59.83,,Jacob LEWIS,,USA,4f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,0
213,3:59.87,,Jojo JOURDON,,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",03 Feb 2024,1131,0
213,3:59.87,,Ryoji TATEZAWA,16 May 1997,JPN,8,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1076,0
215,3:59.88,,Silas WINDERS,,USA,1f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 Feb 2024,1131,0
216,3:59.89,,Abdel LAADJEL,09 Sep 2003,IRL,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,0
217,3:59.91,,Reuben REINA,,USA,2f5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 Jan 2024,1131,0
217,3:59.91,,Ahmed JAZIRI,16 Dec 1997,TUN,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,0
219,3:59.93,,Paul SPECHT,13 Dec 2002,GER,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,0
219,3:59.93,,Eric ZULKOFSKE,10 Aug 2000,USA,2f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,0
221,3:59.96,,Sean KORSMO,19 Nov 2002,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1130,0
222,3:59.98,,Martin PRODANOV,16 Dec 1999,BUL,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1130,0
223,3:59.99,,Adam MOORE,08 Jun 1998,GBR,12,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1075,0
