Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
jamaine coleman,3:59.890,1/19/2019,,,,,,3:59.190,"vanderbilt multipurpose facility, nashville, tn (usa)",1/18/2020,9/22/1995,gbr,3:59.190,1/18/2020
thomas keen,3:59.860,7/14/2021,,,3:56.060,"morton stadium, dublin (irl)",7/14/2023,,,,6/16/2001,gbr,3:56.060,7/14/2023
allen gordon graffin,3:59.860,8/5/2000,,,3:59.860,"crystal palace, london (gbr)",8/5/2000,,,,12/20/1977,gbr,3:59.860,8/5/2000
ross millington,3:59.860,1/29/2011,,,,,,3:59.860,"bloomington, in (usa)",1/28/2011,9/19/1989,gbr,3:59.860,1/29/2011
yusuf bizimana,3:59.850,2/26/2022,,,3:59.850,"lied recreation center, ames, ia (usa)",2/26/2022,3:57.810,"randal tyson indoor center, fayetteville, ar (usa)",2/13/2021,9/6/2000,gbr,3:57.810,2/13/2021
sol sweeney,3:59.850,2/19/2019,,,,,,3:59.860,athlone (irl),2/13/2019,12/4/1998,gbr,3:59.850,2/19/2019
tom marshall,3:59.840,2/15/2017,,,3:58.310,dublin (irl),7/12/2017,3:59.840,athlone (irl),2/15/2017,6/12/1989,gbr,3:58.310,7/12/2017
tim bayley,3:59.820,1/16/2010,,,,,,3:59.580,"seattle, wa (usa)",1/16/2010,10/4/1981,gbr,3:59.580,1/16/2010
brian hewson,3:59.800,5/28/1955,,,3:58.900,london (gbr),9/3/1958,,,,4/4/1933,gbr,3:58.900,9/3/1958
ben reese,3:59.800,2/14/1997,,,,,,3:59.820,"ypsilanti, mi (usa)",2/14/1997,3/29/1976,gbr,3:59.800,2/14/1997
chris chataway,3:59.800,5/28/1955,,,3:59.800,london (gbr),5/28/1955,,,,1/31/1931,gbr,3:59.800,5/28/1955
ken newton,3:59.800,9/12/1977,,,3:59.800,gateshead (gbr),9/12/1977,,,,6/5/1954,gbr,3:59.800,9/12/1977
maurice benn,3:59.800,6/30/1968,,,3:59.800,london (gbr),6/3/1968,,,,11/9/1946,gbr,3:59.800,6/30/1968
ray roseman,3:59.800,7/23/1969,,,3:59.800,motspur park (gbr),7/23/1969,,,,5/19/1939,gbr,3:59.800,7/23/1969
steve james,3:59.800,6/9/1984,,,3:59.800,nottingham (gbr),6/9/1984,,,,7/14/1962,gbr,3:59.800,6/9/1984
kris gauson,3:59.740,3/5/2011,,,,,,3:59.740,"south bend, in (usa)",3/5/2011,1/29/1988,gbr,3:59.740,3/5/2011
john boulter,3:59.720,7/30/1965,,,3:58.600,motspur park (gbr),7/24/1968,,,,11/18/1940,gbr,3:58.600,7/24/1968
matthew yates,3:59.700,9/6/1989,,,3:52.750,oslo (nor),7/10/1993,3:54.780,birmingham (gbr),3/14/1992,2/4/1969,gbr,3:52.750,7/10/1993
ron macdonald,3:59.700,8/30/1975,,,3:59.100,gateshead (gbr),9/1/1975,,,,11/7/1952,gbr,3:59.100,9/1/1975
eamonn martin,3:59.700,6/12/1983,,,3:59.300,oslo (nor),8/23/1983,,,,10/9/1958,gbr,3:59.300,8/23/1983
rob denmark,3:59.700,7/20/1989,,,,,,,,,,gbr,3:59.700,7/20/1989
chris sly,3:59.690,7/8/1979,,,3:58.850,london (gbr),8/8/1980,,,,1/24/1958,gbr,3:58.850,8/8/1980
mark kirk,3:59.670,7/13/1986,,,3:59.670,swansea (gbr),7/13/1986,,,,1/18/1963,gbr,3:59.670,7/13/1986
andrew graffin,3:59.640,8/21/1999,,,3:54.700,london (gbr),8/23/2002,3:57.480,"new york, ny (usa)",2/8/2002,12/20/1977,gbr,3:54.700,8/23/2002
jermaine mays,3:59.640,8/25/2007,,,3:59.640,london (gbr),8/25/2007,,,,12/23/1982,gbr,3:59.640,8/25/2007
kieran wood,3:59.640,2/20/2019,,,,,,3:59.640,"lincoln, ne (usa)",2/2/2019,11/3/1995,gbr,3:59.640,2/20/2019
michael east,3:59.610,7/22/2001,,,3:52.500,sheffield (gbr),8/21/2005,,,,1/20/1978,gbr,3:52.500,8/21/2005
ian crowe-wright,3:59.610,9/18/2020,,,3:57.960,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,3/17/1995,gbr,3:57.960,7/9/2022
george duggan,3:59.610,2/28/2020,,,,,,3:59.610,"dempsey indoor, seattle, wa (usa)",2/29/2020,9/1/1996,gbr,3:59.610,2/28/2020
malcolm plant,3:59.610,8/31/1979,,,3:59.610,london (gbr),8/31/1979,,,,5/24/1957,gbr,3:59.610,8/31/1979
neil caddy,3:59.600,8/6/1995,,,3:55.840,sheffield (gbr),8/25/1996,,,,3/18/1975,gbr,3:55.840,8/25/1996
david lewis,3:59.600,7/27/1982,,,3:55.960,oslo (nor),8/23/1983,,,,10/15/1961,gbr,3:55.960,8/23/1983
craig mochrie,3:59.600,8/28/1989,,,3:59.600,mansfield (gbr),8/28/1989,,,,11/6/1962,gbr,3:59.600,8/28/1989
john howorth,3:59.590,7/14/2021,,,3:58.940,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,4/21/2000,gbr,3:58.940,7/9/2022
neil gourley,3:59.580,2/5/2016,,,3:52.910,"bislett stadion, oslo (nor)",6/16/2022,3:49.460,"armory track&field center, new york, ny (usa)",2/11/2023,2/7/1995,gbr,3:49.460,2/11/2023
colin hume,3:59.580,3/5/1983,,,,,,3:59.580,"murfreesboro, tn (usa)",3/5/1983,6/20/1960,gbr,3:59.580,3/5/1983
matthew barnes 2,3:59.570,8/11/2007,,,,,,,,,,gbr,3:59.570,8/11/2007
matthew fayers,3:59.550,2/14/2015,,,,,,3:58.440,"seattle, wa (usa)",2/10/2018,8/5/1994,gbr,3:58.440,2/10/2018
paul larkins,3:59.520,2/8/1986,,,3:56.650,birmingham (gbr),7/17/1987,3:59.520,"oklahoma city, ok (usa)",2/8/1986,5/19/1963,gbr,3:56.650,7/17/1987
simon fairbrother,3:59.500,8/20/1989,,,3:56.830,gateshead (gbr),8/17/1990,,,,3/28/1968,gbr,3:56.830,8/17/1990
mike wiggs,3:59.500,6/12/1965,,,3:57.500,dublin (irl),7/5/1965,,,,4/25/1938,gbr,3:57.500,7/5/1965
bob maplestone,3:59.500,7/19/1972,,,3:58.500,"arkadelphia, ar (usa)",5/25/1973,3:59.500,"san diego, ca (usa)",2/19/1972,7/15/1946,gbr,3:58.500,5/25/1973
glen grant,3:59.470,5/30/1976,,,3:59.160,london (gbr),6/19/1976,,,,7/16/1953,gbr,3:59.160,6/19/1976
andrew smith,3:59.460,7/14/2021,,,3:59.460,"birmingham university athletics track, birmingham (gbr)",7/14/2021,,,,10/7/1995,gbr,3:59.460,7/14/2021
adrian callan,3:59.450,7/23/1985,,,3:58.280,swansea (gbr),7/13/1986,,,,11/28/1962,gbr,3:58.280,7/13/1986
anthony whiteman,3:59.440,10/15/1995,,,3:51.900,nice (fra),7/16/1998,,,,11/13/1971,gbr,3:51.900,7/16/1998
john keyworth,3:59.430,7/14/1984,,,3:59.430,"villanova, pa (usa)",7/14/1984,,,,5/29/1963,gbr,3:59.430,7/14/1984
william battershill,3:59.420,7/14/2021,,,3:58.490,"sportcity regional arena, manchester (gbr)",5/27/2023,,,,2/25/1998,gbr,3:58.490,5/27/2023
geoff turnbull,3:59.410,6/12/1983,,,3:57.660,birmingham (gbr),7/18/1986,,,,4/15/1961,gbr,3:57.660,7/18/1986
steve ovett,3:59.400,7/17/1974,,,3:48.400,koblenz (ger),8/26/1981,,,,10/9/1955,gbr,3:48.400,8/26/1981
david strang,3:59.400,2/22/1992,,,3:54.300,"bislett stadion, oslo (nor)",7/22/1994,3:55.430,"boston, ma (usa)",1/22/1994,12/13/1968,gbr,3:54.300,7/22/1994
derek ibbotson,3:59.400,8/6/1956,,,3:57.200,london (gbr),7/19/1957,,,,6/17/1932,gbr,3:57.200,7/19/1957
roger bannister,3:59.400,5/6/1954,,,3:58.800,vancouver (can),8/7/1954,,,,3/23/1929,gbr,3:58.800,8/7/1954
tony settle,3:59.400,8/30/1975,,,3:58.800,belfast (gbr),5/29/1976,,,,12/9/1953,gbr,3:58.800,5/29/1976
nick hopkins,3:59.400,6/15/1990,,,3:59.010,portsmouth (gbr),8/12/1990,,,,8/28/1966,gbr,3:59.010,8/12/1990
derek graham,3:59.400,8/13/1966,,,3:59.240,london (gbr),8/20/1966,,,,9/22/1941,gbr,3:59.240,8/20/1966
bill mckim,3:59.400,7/22/1964,,,3:59.400,motspur park (gbr),7/22/1964,,,,10/1/1941,gbr,3:59.400,7/22/1964
roy young,3:59.400,7/14/1971,,,3:59.400,motspur park (gbr),7/14/1971,,,,6/24/1946,gbr,3:59.400,7/14/1971
jonathan shields,3:59.390,1/29/2022,,,3:59.390,"dempsey indoor, seattle, wa (usa)",1/29/2022,,,,2/1/1998,gbr,3:59.390,1/29/2022
peter mccolgan,3:59.370,7/18/1986,,,3:59.370,birmingham (gbr),7/18/1986,,,,2/20/1963,gbr,3:59.370,7/18/1986
rob mullett,3:59.370,2/13/2010,,,3:59.470,"west chester, pa (usa)",8/13/2015,3:59.370,"seattle, wa (usa)",2/13/2010,7/31/1987,gbr,3:59.370,2/13/2010
david heath,3:59.360,7/17/1989,,,3:59.360,belfast (gbr),7/17/1989,,,,5/22/1965,gbr,3:59.360,7/17/1989
kane elliott,3:59.360,5/27/2023,,,3:59.360,"sportcity regional arena, manchester (gbr)",5/27/2023,,,,1/19/2002,gbr,3:59.360,5/27/2023
ben potrykus,3:59.350,7/9/2022,,,3:59.350,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,5/30/1996,gbr,3:59.350,7/9/2022
ieuan thomas,3:59.310,2/5/2017,,,,,,3:59.310,cardiff (gbr),2/5/2017,7/17/1989,gbr,3:59.310,2/5/2017
andy carter,3:59.300,6/10/1972,,,3:59.300,london (gbr),6/10/1972,,,,1/29/1949,gbr,3:59.300,6/10/1972
bruce tulloh,3:59.300,1/27/1962,,,3:59.300,hamilton (nzl),1/27/1962,,,,9/29/1935,gbr,3:59.300,1/27/1962
gareth brown,3:59.300,4/30/1983,,,3:59.500,swansea (gbr),8/25/1984,,,,12/29/1961,gbr,3:59.300,4/30/1983
ken wood,3:59.300,7/19/1957,,,3:59.300,london (gbr),7/19/1957,,,,11/21/1930,gbr,3:59.300,7/19/1957
mark howard,3:59.300,7/20/1989,,,3:59.300,portsmouth (gbr),7/1/1989,,,,2/7/1966,gbr,3:59.300,7/20/1989
tim redman,3:59.300,6/16/1985,,,3:59.300,coventry (gbr),6/16/1985,,,,7/5/1960,gbr,3:59.300,6/16/1985
alistair currie,3:59.290,8/20/1985,,,3:59.290,london (gbr),8/2/1985,,,,5/24/1965,gbr,3:59.290,8/20/1985
andrew geddes,3:59.280,7/17/1987,,,3:59.280,birmingham (gbr),7/17/1987,,,,4/29/1965,gbr,3:59.280,7/17/1987
mitchell goose,3:59.260,2/17/2012,,,,,,,,,,gbr,3:59.260,2/17/2012
gary staines,3:59.240,7/20/1985,,,3:53.820,portsmouth (gbr),8/12/1990,,,,7/3/1963,gbr,3:53.820,8/12/1990
henry mcluckie,3:59.240,5/14/2022,,,3:57.690,"university of stirling track, stirling (gbr)",8/26/2023,,,,5/3/2002,gbr,3:57.690,8/26/2023
mike berisford,3:59.240,8/18/1962,,,3:59.240,london (gbr),8/18/1962,,,,4/8/1936,gbr,3:59.240,8/18/1962
jim mcguinness,3:59.200,8/30/1975,,,3:55.000,dublin (irl),7/11/1977,,,,9/21/1951,gbr,3:55.000,7/11/1977
andrew green,3:59.200,8/25/1964,,,3:57.740,london (gbr),7/3/1965,,,,11/26/1942,gbr,3:57.740,7/3/1965
lee merrien,3:59.180,8/6/2005,,,3:59.180,london (gbr),8/6/2005,,,,4/26/1979,gbr,3:59.180,8/6/2005
stephen davies,3:59.180,8/25/2007,,,3:59.180,london (gbr),8/25/2007,,,,2/16/1984,gbr,3:59.180,8/25/2007
billy dee,3:59.170,7/14/1991,,,3:59.170,london (gbr),7/14/1991,,,,12/18/1961,gbr,3:59.170,7/14/1991
david proctor,3:59.140,1/27/2007,,,,,,3:59.140,"boston, ma (usa)",1/26/2007,10/22/1985,gbr,3:59.140,1/27/2007
kyle langford,3:59.140,7/14/2021,,,3:59.140,"birmingham university athletics track, birmingham (gbr)",7/14/2021,,,,2/2/1996,gbr,3:59.140,7/14/2021
david forrester,3:59.130,3/30/2012,,,,,,3:59.130,"south bend, in (usa)",3/3/2012,12/11/1989,gbr,3:59.130,3/30/2012
neill duggan,3:59.100,6/4/1966,,,3:56.100,"san diego, ca (usa)",6/11/1966,,,,9/1/1940,gbr,3:56.100,6/11/1966
ashworth laukam,3:59.100,6/16/1985,,,3:59.100,coventry (gbr),6/16/1985,,,,3/1/1961,gbr,3:59.100,6/16/1985
callum elson,3:59.070,7/20/2022,,,3:58.740,"franklin field, philadelphia, pa (usa)",4/29/2023,3:59.710,"boston univ. track & tennis center, boston, ma (usa)",2/12/2022,12/31/1998,gbr,3:58.740,4/29/2023
gavin thompson,3:59.050,2/7/2004,,,,,,3:59.050,"south bend, in (usa)",2/7/2004,4/9/1980,gbr,3:59.050,2/7/2004
adam fogg,3:59.030,2/13/2021,,,3:55.700,"sportcity regional arena, manchester (gbr)",5/27/2023,3:56.890,"gately indoor tf center, chicago, il (usa)",2/28/2022,1/27/1999,gbr,3:55.700,5/27/2023
david sharpe,3:59.020,5/27/1990,,,3:59.020,london (gbr),5/27/1990,,,,7/8/1967,gbr,3:59.020,5/27/1990
kevin mckay,3:59.000,5/7/1989,,,3:53.640,"bislett stadion, oslo (nor)",7/22/1994,,,,2/9/1969,gbr,3:53.640,7/22/1994
ray smedley,3:59.000,9/15/1972,,,3:57.700,"philadelphia, pa (usa)",4/27/1974,,,,9/3/1951,gbr,3:57.700,4/27/1974
chris mcgeorge,3:58.970,6/27/1986,,,3:56.710,cork (irl),7/5/1988,,,,1/13/1962,gbr,3:56.710,7/5/1988
josh carr,3:58.970,7/9/2022,,,3:58.970,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,7/30/1994,gbr,3:58.970,7/9/2022
barry smith,3:58.960,7/4/1975,,,3:57.460,london (gbr),8/8/1980,,,,4/16/1953,gbr,3:57.460,8/8/1980
anthony harris,3:58.960,7/30/1965,,,3:58.960,london (gbr),7/3/1965,,,,6/1/1941,gbr,3:58.960,7/30/1965
john whetton,3:58.950,8/30/1964,,,3:57.680,london (gbr),7/3/1965,,,,9/6/1941,gbr,3:57.680,7/3/1965
chris mulvaney,3:58.940,2/15/2003,,,3:58.350,burnaby (can),6/14/2005,3:58.940,"fayetteville, ar (usa)",2/15/2003,5/25/1981,gbr,3:58.350,6/14/2005
matthew clowes,3:58.940,1/31/2015,,,,,,3:58.960,"seattle, wa (usa)",1/31/2015,9/29/1989,gbr,3:58.940,1/31/2015
steve emson,3:58.900,7/31/1979,,,3:58.620,london (gbr),8/31/1979,,,,11/5/1956,gbr,3:58.620,8/31/1979
simon mugglestone,3:58.900,5/19/1990,,,3:58.900,oxford (gbr),5/19/1990,,,,1/24/1968,gbr,3:58.900,5/19/1990
zak seddon,3:58.900,7/19/2019,,,3:58.900,"olympic stadium, london (gbr)",7/21/2019,,,,6/28/1994,gbr,3:58.900,7/19/2019
tom buckner,3:58.870,6/5/1993,,,,,,,,,,gbr,3:58.870,6/5/1993
john nuttall,3:58.830,8/14/1991,,,3:58.830,croydon (gbr),8/14/1991,,,,1/11/1967,gbr,3:58.830,8/14/1991
john robson,3:58.810,8/29/1977,,,3:52.440,oslo (nor),7/11/1981,,,,1/31/1957,gbr,3:52.440,7/11/1981
alan mottershead,3:58.800,9/12/1977,,,3:58.230,london (gbr),9/14/1979,,,,5/16/1955,gbr,3:58.230,9/14/1979
lawrie spence,3:58.800,9/12/1977,,,3:58.800,gateshead (gbr),9/12/1977,,,,7/16/1953,gbr,3:58.800,9/12/1977
andrew keith,3:58.790,1/25/1992,,,3:57.960,cork (irl),6/24/1995,3:56.290,"boston, ma (usa)",1/22/1994,12/25/1971,gbr,3:56.290,1/22/1994
roger hackney,3:58.770,7/13/1986,,,3:58.770,swansea (gbr),7/13/1986,,,,9/2/1957,gbr,3:58.770,7/13/1986
jack rowe,3:58.760,7/28/2021,,,3:58.760,"wimbledon park athletics track, london (gbr)",7/28/2021,,,,1/30/1996,gbr,3:58.760,7/28/2021
jonathan mellor,3:58.760,7/27/2013,,,3:58.760,oxford (gbr),7/20/2013,,,,12/27/1986,gbr,3:58.760,7/27/2013
george mills,3:58.730,7/13/2021,,,3:47.650,"hayward field, eugene, or (usa)",9/16/2023,,,,5/12/1999,gbr,3:47.650,9/16/2023
james young,3:58.710,7/13/2021,,,3:55.200,"vanderbilt multipurpose facility, nashville, tn (usa)",2/11/2022,3:58.640,"crossplex athletic facility, birmingham, al (usa)",3/11/2022,12/29/1997,gbr,3:55.200,2/11/2022
david mullarkey,3:58.710,7/9/2022,,,3:58.710,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,3/7/2000,gbr,3:58.710,7/9/2022
peter stewart,3:58.700,6/11/1969,,,3:55.300,london (gbr),6/10/1972,,,,8/8/1947,gbr,3:55.300,6/10/1972
allan rushmer,3:58.700,8/26/1967,,,3:58.700,duston (gbr),8/26/1967,,,,2/27/1944,gbr,3:58.700,8/26/1967
norman morrison,3:58.700,5/31/1971,,,3:58.700,leicester (gbr),5/31/1971,,,,3/13/1949,gbr,3:58.700,5/31/1971
james west,3:58.690,7/22/2016,,,3:56.790,"olympic stadium, london (gbr)",7/21/2019,3:57.430,"dempsey indoor, seattle, wa (usa)",2/15/2020,1/30/1996,gbr,3:56.790,7/21/2019
steve flint,3:58.680,5/26/1980,,,3:58.680,birmingham (gbr),5/26/1980,,,,1/5/1961,gbr,3:58.680,5/26/1980
ciaran murphy,3:58.680,6/24/1995,,,3:58.680,cork (irl),6/24/1995,,,,9/2/1971,gbr,3:58.680,6/24/1995
matthew shone,3:58.660,8/6/2005,,,3:58.660,london (gbr),8/6/2005,,,,7/10/1975,gbr,3:58.660,8/6/2005
ian gillespie,3:58.640,6/5/1993,,,3:57.600,exeter (gbr),6/16/1998,,,,5/18/1970,gbr,3:57.600,6/16/1998
patrick dever,3:58.620,7/24/2021,,,3:58.620,"loughborough university track, loughborough (gbr)",7/24/2021,,,,9/5/1996,gbr,3:58.620,7/24/2021
scott beattie,3:58.610,7/9/2022,,,3:58.610,"birmingham university athletics track, birmingham (gbr)",7/9/2022,,,,12/4/1998,gbr,3:58.610,7/9/2022
scott overall,3:58.610,1/29/2010,,,,,,3:58.610,"bloomington, in (usa)",1/29/2010,2/9/1983,gbr,3:58.610,1/29/2010
sam atkin,3:58.600,5/31/2018,,,3:58.600,st. louis (usa),5/31/2018,3:57.970,"seattle, wa (usa)",1/12/2019,3/14/1993,gbr,3:57.970,1/12/2019
oli aitchison,3:58.590,2/13/2016,,,,,,,,,,gbr,3:58.590,2/13/2016
matthew gillespie,3:58.550,1/26/2013,,,,,,3:58.480,"boston, ma (usa)",2/8/2014,11/4/1990,gbr,3:58.480,2/8/2014
peter elliott,3:58.540,1/28/1984,,,3:49.200,oslo (nor),7/2/1988,3:52.020,"east rutherford, nj (usa)",2/9/1990,10/9/1962,gbr,3:49.200,7/2/1988
anthony morrell,3:58.500,9/9/1988,,,3:51.310,oslo (nor),7/14/1990,,,,5/3/1962,gbr,3:51.310,7/14/1990
brendan foster,3:58.500,5/31/1971,,,3:55.900,london (gbr),6/10/1972,,,,1/12/1948,gbr,3:55.900,6/10/1972
jim douglas,3:58.500,7/23/1969,,,3:56.000,london (gbr),6/10/1972,,,,9/9/1945,gbr,3:56.000,6/10/1972
adrian weatherhead,3:58.500,6/19/1971,,,3:57.590,london (gbr),8/29/1975,,,,9/22/1943,gbr,3:57.590,8/29/1975
spencer barden,3:58.500,5/29/1998,,,3:58.500,hexham (gbr),5/29/1998,,,,3/31/1973,gbr,3:58.500,5/29/1998
paul lawther,3:58.490,7/19/1976,,,3:57.810,cork (irl),7/13/1983,,,,12/22/1955,gbr,3:57.810,7/13/1983
neil speaight,3:58.490,1/28/2006,,,,,,3:58.490,"boston, ma (usa)",1/28/2006,9/9/1978,gbr,3:58.490,1/28/2006
tom dodd,3:58.470,2/13/2021,,,,,,3:57.000,"randal tyson indoor center, fayetteville, ar (usa)",3/12/2021,10/2/1998,gbr,3:57.000,3/12/2021
jonathan davies,3:58.460,1/27/2018,,,3:59.360,"university of stirling track, stirling (gbr)",9/18/2020,,,,10/28/1994,gbr,3:58.460,1/27/2018
chris warburton,3:58.440,8/11/2007,,,3:58.200,"crystal palace, london (gbr)",7/25/2008,,,,8/23/1983,gbr,3:58.200,7/25/2008
jason dullforce,3:58.420,3/14/1992,,,,,,3:58.420,birmingham (gbr),3/14/1992,8/6/1970,gbr,3:58.420,3/14/1992
nick rose,3:58.400,7/25/1973,,,3:57.490,london (gbr),8/8/1980,,,,12/30/1951,gbr,3:57.490,8/8/1980
matthew barnes 1,3:58.390,6/25/1994,,,,,,,,,,gbr,3:58.390,6/25/1994
adrian passey,3:58.380,7/18/1986,,,3:54.900,harlow (gbr),8/20/1989,3:59.930,cosford (gbr),3/13/1987,9/2/1964,gbr,3:54.900,8/20/1989
sebastian coe,3:58.350,8/30/1976,,,3:47.330,bruxelles (bel),8/28/1981,,,,9/29/1956,gbr,3:47.330,8/28/1981
alan salter,3:58.310,6/9/1982,,,3:56.990,cork (irl),7/9/1985,,,,4/22/1960,gbr,3:56.990,7/9/1985
richard peters,3:58.260,2/12/2011,,,3:58.700,oxford (gbr),7/20/2013,3:56.040,"boston, ma (usa)",2/14/2013,2/18/1990,gbr,3:56.040,2/14/2013
gary taylor,3:58.260,1/17/1986,,,3:57.150,cork (irl),7/5/1988,3:58.260,"fayetteville, ar (usa)",1/17/1986,6/1/1963,gbr,3:57.150,7/5/1988
james thie,3:58.260,9/15/2002,,,3:57.860,"crystal palace, london (gbr)",7/30/2004,3:57.710,"new york, ny (usa)",2/14/2003,6/27/1978,gbr,3:57.710,2/14/2003
tom farrell,3:58.200,1/26/2013,,,,,,,,,,gbr,3:58.200,1/26/2013
liam dee,3:58.190,2/26/2017,,,,,,3:58.190,"boston, ma (usa)",2/26/2017,5/23/1996,gbr,3:58.190,2/26/2017
johan boakes,3:58.010,1/25/1991,,,,,,3:58.010,"fayetteville, ar (usa)",1/25/1991,4/12/1968,gbr,3:58.010,1/25/1991
stan taylor,3:58.010,8/18/1962,,,3:58.010,london (gbr),8/18/1962,,,,4/18/1937,gbr,3:58.010,8/18/1962
john kirkbride,3:58.000,7/23/1969,,,3:56.500,london (gbr),6/10/1972,,,,3/24/1947,gbr,3:56.500,6/10/1972
ron martin,3:58.000,4/27/1974,,,3:58.900,"williamsburg, va (usa)",5/11/1974,,,,9/22/1950,gbr,3:58.000,4/27/1974
lee emanuel,3:57.910,2/6/2009,,,3:54.750,"olympic stadium, london (gbr)",7/27/2013,3:54.300,"new york, ny (usa)",1/24/2014,1/24/1985,gbr,3:54.300,1/24/2014
james espir,3:57.910,9/14/1979,,,3:56.700,cwmbran (gbr),8/15/1981,,,,10/17/1958,gbr,3:56.700,8/15/1981
alex george,3:57.910,9/4/2021,,,3:57.910,"arena civica, milano (ita)",9/4/2021,,,,2/6/1996,gbr,3:57.910,9/4/2021
ricky stevenson,3:57.900,7/25/2009,,,3:57.570,dublin (irl),7/25/2012,3:56.310,"new york, ny (usa)",1/23/2010,11/14/1988,gbr,3:56.310,1/23/2010
clifton bradeley,3:57.880,3/9/1985,,,,,,3:57.880,cosford (gbr),3/9/1985,10/20/1964,gbr,3:57.880,3/9/1985
mike kearns,3:57.860,6/26/1977,,,3:57.860,london (gbr),6/26/1977,,,,2/27/1954,gbr,3:57.860,6/26/1977
chris gowell,3:57.850,2/8/2013,,,3:58.250,cardiff (gbr),7/15/2014,3:57.290,"boston, ma (usa)",2/8/2014,9/26/1985,gbr,3:57.290,2/8/2014
tim hutchings,3:57.830,7/20/1978,,,3:54.530,edinburgh (gbr),7/31/1982,,,,12/4/1958,gbr,3:54.530,7/31/1982
yusu bizima,3:57.810,2/13/2021,,,,,,,,,,gbr,3:57.810,2/13/2021
jake wightman,3:57.800,7/25/2015,,,3:50.300,"bislett stadion, oslo (nor)",6/16/2022,3:57.240,"reggie lewis center, boston, ma (usa)",1/28/2017,7/11/1994,gbr,3:50.300,6/16/2022
malcolm edwards,3:57.800,9/20/1987,,,3:57.800,jersey (gbr),9/19/1987,,,,1/7/1958,gbr,3:57.800,9/20/1987
ben macmillan,3:57.760,5/21/2022,,,3:57.760,"university of stirling track, stirling (gbr)",5/21/2022,,,,10/23/2001,gbr,3:57.760,5/21/2022
graeme fell,3:57.500,6/10/1983,,,3:57.500,vancouver (can),6/1/1983,,,,3/19/1959,gbr,3:57.500,6/10/1983
frank clement,3:57.440,8/10/1974,,,3:54.200,oslo (nor),6/27/1978,,,,4/26/1952,gbr,3:54.200,6/27/1978
steve cram,3:57.420,7/20/1978,,,3:46.320,oslo (nor),7/27/1985,,,,10/14/1960,gbr,3:46.320,7/27/1985
colin ridding,3:57.420,7/5/1988,,,3:57.420,cork (irl),7/5/1988,,,,11/1/1961,gbr,3:57.420,7/5/1988
tom carter,3:57.300,8/6/2005,,,3:57.300,london (gbr),8/6/2005,,,,8/20/1982,gbr,3:57.300,8/6/2005
michael openshaw,3:57.200,5/29/1998,,,3:57.200,hexham (gbr),5/29/1998,,,,4/8/1972,gbr,3:57.200,5/29/1998
neil ovington,3:57.070,7/11/1986,,,3:57.070,london (gbr),7/11/1986,,,,1/26/1963,gbr,3:57.070,7/11/1986
david bishop,3:56.960,7/11/2014,,,3:56.960,dublin (irl),7/11/2014,,,,5/9/1987,gbr,3:56.960,7/11/2014
sean cahill,3:56.950,8/31/1979,,,3:56.950,london (gbr),8/31/1979,,,,3/4/1958,gbr,3:56.950,8/31/1979
john mayock,3:56.900,9/15/1991,,,3:50.320,oslo (nor),7/5/1996,3:55.070,stockholm (swe),2/15/2001,10/26/1970,gbr,3:50.320,7/5/1996
ron speirs,3:56.900,4/30/1977,,,3:56.900,"philadelphia, pa (usa)",4/30/1977,,,,5/18/1952,gbr,3:56.900,4/30/1977
ian mccafferty,3:56.800,6/11/1969,,,3:56.800,reading (gbr),6/11/1969,,,,11/24/1944,gbr,3:56.800,6/11/1969
mark draper,3:56.800,1/23/2010,,,,,,3:56.800,"new york, ny (usa)",1/23/2010,6/28/1984,gbr,3:56.800,1/23/2010
rob harrison,3:56.760,6/10/1984,,,3:53.850,nice (fra),7/15/1986,3:59.350,cosford (gbr),3/9/1985,6/5/1959,gbr,3:53.850,7/15/1986
steve martin,3:56.710,6/10/1984,,,3:56.360,gateshead (gbr),8/5/1986,,,,7/16/1959,gbr,3:56.360,8/5/1986
alan simpson,3:56.600,6/7/1965,,,3:55.680,london (gbr),8/30/1965,,,,5/22/1940,gbr,3:55.680,8/30/1965
paul davies-hale,3:56.500,8/20/1989,,,3:56.500,harlow (gbr),8/20/1989,,,,6/21/1962,gbr,3:56.500,8/20/1989
mohamed farah,3:56.490,8/6/2005,,,,,,,,,,gbr,3:56.490,8/6/2005
elliot giles,3:56.470,8/30/2019,,,3:51.630,"hayward field, eugene, or (usa)",9/16/2023,3:59.710,"lee valley athletics centre, london (gbr)",1/30/2019,5/26/1994,gbr,3:51.630,9/16/2023
mike downes,3:56.470,8/31/1979,,,3:56.040,koblenz (ger),8/25/1982,,,,5/25/1954,gbr,3:56.040,8/25/1982
graham williamson,3:56.400,7/20/1978,,,3:50.640,cork (irl),7/13/1982,,,,6/15/1960,gbr,3:50.640,7/13/1982
