Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
190,3:58.75,,Wyatt HAUGHTON,12 May 2005,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1146,
192,3:58.77,,Ezekiel ROP,,KEN,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1146,
193,3:58.78,,Benne C. ANDERSON,24 Jun 2004,GER,1f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1145,
194,3:58.81,,Wil SMITH,07 Sep 2001,USA,4f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1089,
195,3:58.83,,James DONAHUE,,USA,7f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1145,
195,3:58.83,,Cillian KIRWAN,22 Mar 1996,IRL,12,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1089,
197,3:58.85,,Nanami ARAI,26 Dec 1994,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1144,
197,3:58.85,,Tiarnan CRORKEN,13 June 1999,GBR,3f1,,"Oxford University Track, Oxford (GBR)",06 May 2024,1089,
199,3:58.87,,Cole SPROUT,03 Dec 2001,USA,4f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1088,
200,3:58.92,,Ferenc Soma KOVÁCS,14 Jun 2004,HUN,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1144,
201,3:58.93,,Christian NOBLE,21 Apr 1997,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1143,
202,3:58.94,,Amon KEMBOI,10 Dec 1995,KEN,11,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1087,
203,3:58.95,,Michael MIRELES,,USA,5f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1087,
204,3:59.01,,Carter SOLOMON,,USA,2,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",3 Feb 2024,1087,
205,3:59.02,,Kian DAVIS,25 Apr 2001,GBR,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,
206,3:59.03,,Keisuke MORITA,19 Oct 1995,JPN,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1142,
207,3:59.05,,Cooper CAWTHRA,,USA,3f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,
207,3:59.05,,Vincent MAURI,,USA,3,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",3 February 2024,1086,
209,3:59.07,,Aidan TROUTNER,24 Aug 1999,USA,5h2,,"The Track at New Balance, Boston, MA (USA) (i)",08 Mar 2024,1142,
210,3:59.14,,Jack CRULL,13 February 2002,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1141,
211,3:59.20,,Mark MILNER,2 Aug 2000,IRL,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1140,
212,3:59.21,,Matthew BEAUDET,28 Feb 2000,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1140,
212,3:59.21,,Ethan COLEMAN,,USA,3f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1140,
214,3:59.22,,Nicholas BENDTSEN,,USA,2f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1140,
215,3:59.24,,Joseph TUFFIN,24 Jun 1999,GBR,1f1,,"Lee Valley Athletics Centre, London (GBR) (i)",7 Feb 2024,1139,
216,3:59.26,,Noah KIBET,12 Apr 2004,KEN,10,,"Armory Track&Field Center, New York, NY (USA) (i)",27 Jan 2024,1139,
216,3:59.26,,Cathal O'REILLY,17 Jan 2003,IRL,4f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1084,
218,3:59.27,,Thomas BOYDEN,,USA,6f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1083,
218,3:59.27,,Matthew ERICKSON,11 Mar 2003,CAN,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",7 Dec 2024,1139,
220,3:59.31,,Ethan COLEMAN,28 Apr 2004,USA,4,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",3 Feb 2024,1083,
221,3:59.34,,Matthew CENTROWITZ,18 Oct 1989,USA,6f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1083,
222,3:59.38,,Spencer PICKREN,,USA,7f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1082,
223,3:59.39,,Winslow ATKESON,,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 February 2024,1137,
224,3:59.41,,Liam BACK,01 Jan 2002,NZL,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1137,
225,3:59.45,,Damian HACKETT,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1137,
225,3:59.45,,Bradley GIBLIN,30 Jul 2004,GBR,2f6,,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",12 Apr 2024,1081,
225,3:59.45,,Carter CUTTING,10 Jan 2005,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1137,
228,3:59.49,,Jake GEBHARDT,,USA,9f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1136,
229,3:59.50,,Nick PLANT,30 Oct 2003,USA,4f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1136,
229,3:59.50,,Charles WHEELER,04 Jul 1998,GBR,3f2,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1081,
231,3:59.51,,Cormac DALTON,01 Sep 1998,IRL,4f2,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1080,
232,3:59.54,,Evan JENKINS,29 Mar 2004,USA,8f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1080,
233,3:59.55,,Joshua THOMPSON,09 May 1993,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1135,
233,3:59.55,,Declan RYMER,,USA,5f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1135,
233,3:59.55,,Rory LEONARD,13 Feb 2001,GBR,3f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1135,
236,3:59.57,,Evan ADDISON,18 Feb 2000,USA,3f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1135,
237,3:59.59,,Freddy COLLINS,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,
238,3:59.61,,Hibiki OBARA,10 Nov 2001,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,
239,3:59.62,,Zach HILLHOUSE,,USA,2f7,,"Franklin Field, Philadelphia, PA (USA)",13 Jun 2024,1079,
240,3:59.69,,Sean DOLAN,19 Mar 2001,USA,2f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",07 Dec 2024,1134,
241,3:59.71,,Ben SHEARER,,USA,4f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1133,
241,3:59.71,,Dalton HENGST,12 Dec 1999,USA,1f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,
243,3:59.72,,Robert HEPPENSTALL,28 Feb 1997,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1133,
243,3:59.72,,Craig NOWAK,20 Apr 1994,USA,11,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1078,
245,3:59.75,,Charles HARDERS,,USA,2f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,
246,3:59.79,,Oliver NEWMAN,07 May 2000,GBR,4f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1077,
247,3:59.81,,Evan THORNTON-SHERMAN,16 Mar 2004,USA,3f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,
248,3:59.83,,Jacob LEWIS,,USA,4f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,
249,3:59.84,,Edwin KLANKE,,USA,3f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",07 Dec 2024,1132,
250,3:59.87,,Jojo JOURDON,,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",03 Feb 2024,1131,
250,3:59.87,,Ryoji TATEZAWA,16 May 1997,JPN,8,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1076,
252,3:59.88,,Silas WINDERS,,USA,1f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 Feb 2024,1131,
253,3:59.89,,Abdel LAADJEL,09 Sep 2003,IRL,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,
254,3:59.91,,Reuben REINA,1999,USA,2f5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 Jan 2024,1131,
254,3:59.91,,Ahmed JAZIRI,16 Dec 1997,TUN,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,
256,3:59.93,,Paul SPECHT,13 Dec 2002,GER,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,
256,3:59.93,,Eric ZULKOFSKE,10 Aug 2000,USA,2f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,
258,3:59.96,,Sean KORSMO,19 Nov 2002,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1130,
259,3:59.98,,Martin PRODANOV,16 Dec 1999,BUL,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1130,
260,3:59.99,,Adam MOORE,08 Jun 1998,GBR,12,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1075,
