Number,Time,Name,Country,DOB,Position,Location,Date
1673,3:55.25,Rachid El Basir,MAR,04.10.68,10,Oslo,10.07.1993
1673,3:55.25,Charles Philibert-Thiboutot,CAN,31.12.90,2,Huntington,31.08.2016
1678,3:55.26,Steve Scott,USA,05.05.56,1,Des Moines,27.04.1979
1678,3:55.26,Pierre Délèze,SUI,25.09.58,2,London,08.08.1980
1678,3:55.26,Todd Harbour,USA,24.03.59,3,Eugene,05.06.1982
1678,3:55.26,Ross Donoghue,USA,19.07.59,5,Westwood,13.05.1984
1678,3:55.26,Dominique Bouchard,FRA,04.02.63,5,Nice,13.07.1987
1678,3:55.26,Filip Ingebrigtsen,NOR,20.04.93,11,Eugene,28.05.2022
1684,3:55.27,Ken Hall,AUS,25.07.51,10,Oslo,17.07.1979
1684,3:55.27,Sydney Maree,USA,09.09.56,2,Edinburgh,23.07.1985
1684,3:55.27,Charlie Da'Vall Grice,GBR,07.11.93,4,London,25.07.2015
1684,3:55.27,Johnny Gregorek,USA,07.12.91,3,Raleigh,05.08.2016
1688,3:55.28,Mike Boit,KEN,06.01.49,6,Eugene,25.09.1982
1688,3:55.28,Peter Elliott,GBR,09.10.62,4,London,12.09.1986
1688,3:55.28,Andrey Bulkovskiy,UKR,22.07.72,1,Zürich,17.08.1994
1691,3:55.29,Steve Ovett,GBR,09.10.55,1,London,14.09.1979
1691,3:55.29,Todd Harbour,USA,24.03.59,5,Zürich,22.08.1984
1691,3:55.29,Omer Khalifa,SUD,18.12.56,8,Oslo,23.07.1985
1691,3:55.29,Leonel Manzano,USA,12.09.84,1,Saint Louis,23.05.2009
1695,3:55.3,Jim Ryun,USA,29.04.47,1,San Diego,27.06.1965
1695,3:55.3,Peter Stewart,GBR,08.08.47,1,London,10.06.1972
1695,3:55.3,Ray Flynn,IRL,22.01.57,5,Dublin,11.07.1977
1695,3:55.3,David Moorcroft,GBR,10.04.53,1,Frankfurt,05.09.1978
1695,3:55.3,Jeff Atkinson,USA,24.02.63,3,Westwood,06.08.1989
1695,3:55.3+,Noureddine Morceli,ALG,28.02.70,1,Nice,10.07.1996
1695,3:55.30,Mark Rowland,GBR,07.03.63,2,Gateshead,05.08.1986
1695,3:55.30,Seneca Lassiter,USA,12.03.77,4,Eugene,26.05.2002
1695,3:55.30,Andre J. Acosta,USA,13.04.88,3,Falmouth,13.08.2011
1704,3:55.31,Dub Myers,USA,04.04.64,1,Eugene,17.05.1986
1704,3:55.31,Rémy Geoffroy,FRA,22.03.63,6,Zürich,17.08.1988
1704,3:55.31,Abraham Chebii,KEN,23.12.79,2,London,04.06.2000
1704,3:55.31,Nathan Brannen,CAN,08.09.82,6,London,22.07.2016
1704,3:55.31,Andrew Coscoran,IRL,18.06.96,3,London,14.05.2022
1709,3:55.32,Yobes Ondieki,KEN,21.02.61,8,Lausanne,10.07.1991
1709,3:55.32,Luke Houser,USA,02.05.01,8rB,Eugene,05.07.2025
1711,3:55.33,John Walker,NZL,12.01.52,2,Auckland,30.01.1982
1711,3:55.33,Michael Hillardt,AUS,22.01.61,1,London,09.06.1982
1711,3:55.33,Andrés Vera,ESP,31.12.60,6,Oslo,21.07.1984
1711,3:55.33,Joe Falcon,USA,23.06.66,1,New York City,29.07.1990
1711,3:55.33,Pieter-Jan Hannes,BEL,30.10.92,12,Oslo,11.06.2014
1716,3:55.34,Kipchoge Keino,KEN,17.01.40,1,Kingston,13.08.1966
1716,3:55.34,Jürgen Straub,GDR,03.11.53,3,Berlin,26.08.1977
1716,3:55.34,Ray Flynn,IRL,22.01.57,2,Villanova,12.06.1983
1716,3:55.34,Balázs Tölgyesi,HUN,10.01.73,5,Sheffield,25.08.1996
1720,3:55.35,Craig Masback,USA,31.03.55,2,Berlin,17.08.1979
1720,3:55.35,Simon Doyle,AUS,09.11.66,11,Oslo,10.07.1993
1720,3:55.35,Charles Philibert-Thiboutot,CAN,31.12.90,1rA,New York City,09.07.2021
1723,3:55.36,Filbert Bayi,TAN,23.06.53,7,London,25.08.1980
1723,3:55.36,Johan Fourie,RSA,02.12.59,1,Port Elizabeth,07.03.1989
1723,3:55.36,John Mayock,GBR,26.10.70,3,London,27.08.1995
1723,3:55.36,Mark Carroll,IRL,15.01.72,4,Atlanta,18.05.1996
1723,3:55.36,Branko Zorko,CRO,01.07.67,4,Zagreb,07.07.1998
1728,3:55.37,Sydney Maree,USA,09.09.56,4,Westwood,10.05.1981
1728,3:55.37,Steve Scott,USA,05.05.56,1,San José,28.05.1983
1728,3:55.37,Peter Rono,KEN,31.07.67,5,Jerez de la Frontera,17.09.1991
1728,3:55.37,David Krummenacker,USA,24.05.75,7,Sheffield,02.08.1998
1728,3:55.37,Tom Mayo,GBR,02.05.77,5,London,08.08.2003
1728,3:55.37,Matthew Ramsden,AUS,23.07.97,9,Dublin,11.07.2025
1734,3:55.38,Steve Crabb,GBR,30.11.63,1,Birmingham,07.07.1987
1734,3:55.38,Robert Denmark,GBR,23.11.68,3,Portsmouth,12.08.1990
1734,3:55.38,Brahim El Ghazali,MAR,01.01.68,6,Villeneuve d'Ascq,01.07.1991
1734,3:55.38,Terrance Herrington,USA,31.07.66,7,Sankt Peterburg,26.07.1994
1734,3:55.38,Julius Achon,UGA,12.12.76,2,Uniondale,06.06.1999
1734,3:55.38,Kyle Miller,USA,15.05.85,5rB,Eugene,04.06.2011
1734,3:55.38,Jean-Simon Desgagnés,CAN,26.07.98,8,Borås,21.08.2024
1741,3:55.39,Robert Denmark,GBR,23.11.68,6,Sheffield,25.08.1996
1741,3:55.39,Jamey Harris,USA,14.06.71,4,Uniondale,21.07.1998
1741,3:55.39,Ossama Meslek,ITA,08.01.97,4,London,14.05.2022
1744,3:55.4,Herbert Elliott,AUS,25.02.38,1,London,03.09.1958
1744,3:55.4,Jim Grelle,USA,30.09.36,1,Vancouver,15.06.1965
1744,3:55.4,Peter Snell,NZL,17.12.38,2,San Diego,27.06.1965
1744,3:55.4,Jim Grelle,USA,30.09.36,1,San Diego,11.06.1966
1744,3:55.4,Mike Boit,KEN,06.01.49,4,Helsinki,01.08.1974
1744,3:55.4,Thomas Wessinghage,FRG,22.02.52,1,Berlin,18.08.1978
1744,3:55.4,Pierre Délèze,SUI,25.09.58,4,Dublin,27.08.1980
1744,3:55.4,Filbert Bayi,TAN,23.06.53,5,Dublin,27.08.1980
1744,3:55.4A,Matthews Temane,RSA,14.12.60,1,Potchefstroom,09.03.1983
1744,3:55.4+,Steve Cram,GBR,14.10.60,1,Budapest,04.08.1985
1744,3:55.40,Bronislaw Malinowski,POL,04.06.51,4,Stockholm,09.08.1976
1744,3:55.40,Pat Scammell,AUS,15.04.61,7,Villeneuve d'Ascq,01.07.1991
1744,3:55.40,Bernard Lagat,KEN,12.12.74,1,Walnut,22.04.2001
1744,3:55.40,William Chirchir,KEN,06.02.79,1,Palo Alto,08.06.2002
1758,3:55.41,Colin Reitz,GBR,06.04.60,5,Edinburgh,31.07.1982
1758,3:55.41,Charles Cheruiyot,KEN,02.12.64,3,Verona,11.06.1987
1758,3:55.41,Robert Domanic,USA,10.03.95,2rA,Concord,13.06.2019
1758,3:55.41,Craig Engels,USA,01.05.94,2,Eugene,20.08.2021
1758,3:55.41,Vincent Keter,KEN,11.03.02,12,Eugene,28.05.2022
1758,3:55.41,Jack Antsey,AUS,08.04.97,2,West Chester,11.08.2022
1764,3:55.42,Deon Brummer,RSA,04.04.59,3,Port Elizabeth,11.03.1987
1764,3:55.42,Bennie Greyling,RSA,01.02.65,1,Stellenbosch,12.11.1988
1764,3:55.42,Christian Cushing-Murray,USA,18.10.67,4,Eugene,04.06.1995
1764,3:55.42,John Mayock,GBR,26.10.70,6,Berlin,01.09.1995
1764,3:55.42,Andrew Graffin,GBR,20.12.77,5,Linz,20.08.2001
1769,3:55.43,David Moorcroft,GBR,10.04.53,1,London,15.09.1978
1769,3:55.43,Saïd Aouita,MAR,02.11.59,1,London,07.09.1984
1769,3:55.43,Lee Emanuel,GBR,24.01.85,7,London,22.07.2016
1769,3:55.43,Eric Avila,USA,03.10.89,1,Memphis,25.08.2018
1773,3:55.44,Bennie Greyling,RSA,01.02.65,1,Port Elizabeth,12.12.1987
1773,3:55.44,William Tanui,KEN,22.02.64,3,Uniondale,06.06.1999
1773,3:55.44,Steve Holman,USA,02.03.70,4,Uniondale,06.06.1999
1773,3:55.44,Craig Mottram,AUS,18.06.80,4,London,25.07.2008
1773,3:55.44,John Travers,IRL,16.03.91,6,Dublin,11.07.2014
1773,3:55.44,Cameron Myers,AUS,09.06.06,3,Melbourne,23.02.2023
1779,3:55.45,Thomas Wessinghage,FRG,22.02.52,3,Stockholm,04.07.1977
1779,3:55.45,José Manuel Abascal,ESP,17.03.58,8,Berlin,20.08.1982
1779,3:55.45,David Kibet,KEN,24.11.63,2,Belfast,21.06.1991
1779,3:55.45,Nick Willis,NZL,25.04.83,11,London,21.07.2019
1783,3:55.46,Andrew Bayer,USA,03.02.90,8,London,22.07.2016
1784,3:55.47,José Luis González,ESP,08.12.57,4,London,31.08.1979
1784,3:55.47,Jason Pyrah,USA,06.04.69,5,Eugene,04.06.1995
1784,3:55.47,Adam Goucher,USA,18.02.75,2,Gresham,03.06.2001
1784,3:55.47,Alan Webb,USA,13.01.83,7,Eugene,08.06.2008
1784,3:55.47,Adrian Blincoe,NZL,04.11.79,4,Falmouth,13.08.2011
1789,3:55.48,Ben Blankenship,USA,15.12.88,5,London,25.07.2015
1789,3:55.48,Ryan Hill,USA,31.01.90,2,Memphis,25.08.2018
1789,3:55.48,Charles Philibert-Thiboutot,CAN,31.12.90,3,Eugene,20.08.2021
1789,3:55.48,George Mills,GBR,12.05.99,5,London,14.05.2022
1789,3:55.48,Callum Davies,AUS,18.07.99,4,Melbourne,23.02.2023
1794,3:55.49,David Moorcroft,GBR,10.04.53,1,Auckland,24.01.1981
1794,3:55.49,Mike Boit,KEN,06.01.49,4,Berkeley,12.06.1983
1794,3:55.49,Steve Scott,USA,05.05.56,1,Cork,05.07.1988
1794,3:55.49,Miloud Abaoud,ALG,23.04.77,10,Nice,16.07.1997
1794,3:55.49,David Lelei,KEN,10.05.71,1,Portland,18.05.2002
1794,3:55.49,Brian Musau,KEN,28.08.05,3rA,Boston,09.01.2024
1794,3:55.49,Adam Spencer,AUS,04.10.01,14,London,20.07.2024
1794,3:55.49,Ryan Fowkes,USA,23.03.01,4,Middletown,28.08.2025
1802,3:55.5,Jim Beatty,USA,28.10.34,2,Compton,07.06.1963
1802,3:55.5,Michel Jazy,FRA,13.06.36,1,Saint-Maur,02.06.1965
1802,3:55.5,Jim Grelle,USA,30.09.36,3,San Diego,27.06.1965
1802,3:55.5A,Kipchoge Keino,KEN,17.01.40,1,Kisumu,31.08.1968
1802,3:55.5,Rod Dixon,NZL,13.07.50,1,Wanganui,09.01.1974
1802,3:55.5,Filbert Bayi,TAN,23.06.53,1,London,31.05.1975
1802,3:55.5+,John Walker,NZL,12.01.52,1,Oslo,30.06.1976
1802,3:55.5,Thomas Wessinghage,FRG,22.02.52,2,Frankfurt,05.09.1978
1802,3:55.5,Steve Ovett,GBR,09.10.55,1,Tokyo,25.09.1978
1802,3:55.5,Suleiman Nyambui,TAN,13.02.53,1,San José,12.04.1980
1802,3:55.5,Omer Khalifa,SUD,18.12.56,2r1,Nice,17.08.1980
1802,3:55.5,Neil Horsfield,GBR,07.12.66,1,Bromley,23.08.1989
1802,3:55.50,Mohamed Suleiman,QAT,23.11.69,9,Oslo,04.07.1992
1802,3:55.50,Steve Holman,USA,02.03.70,2,Zürich,17.08.1994
1802,3:55.50,Mohamed Al-Garni,QAT,02.07.92,9,Oslo,04.06.2010
1802,3:55.50,Henrik Ingebrigtsen,NOR,24.02.91,2,Eugene,31.05.2013
1802,3:55.50,Adihana Kasaye,ETH,13.09.03,9,København,03.09.2024
1819,3:55.51,John Walker,NZL,12.01.52,4,Stockholm,04.07.1977
1819,3:55.51,Marcus O'Sullivan,IRL,22.12.61,2,New York City,29.07.1990
1819,3:55.51,Peter Elliott,GBR,09.10.62,1,Gateshead,17.08.1990
1819,3:55.51,Jamey Harris,USA,14.06.71,5,Zagreb,07.07.1998
1819,3:55.51,Jeff See,USA,06.06.86,4,Eugene,01.06.2012
1819,3:55.51,Henrik Ingebrigtsen,NOR,24.02.91,6,London,25.07.2015
1819,3:55.51,Craig Engels,USA,01.05.94,3,Memphis,25.08.2018
1819,3:55.51,Santiago Catofre,URU,13.02.99,2,Cork,09.07.2025
1827,3:55.52,Marty Liquori,USA,11.09.49,4,London,29.08.1975
1827,3:55.52,Steve Cram,GBR,14.10.60,3,London,08.08.1980
1827,3:55.52,Chuck Aragon,USA,29.03.59,9,Oslo,27.07.1985
1830,3:55.53,Maurice Smith,USA,20.11.62,3,New York City,29.07.1990
1830,3:55.53,Marcus O'Sullivan,IRL,22.12.61,6,Bruxelles,03.09.1993
1830,3:55.53,Mohamed Ibrahim Aden,USA,11.11.72,5,Eugene,26.05.2002
1830,3:55.53,Chris O'Hare,GBR,23.11.90,1rA,Bay Shore,05.09.2018
1834,3:55.54,Charles Cheruiyot,KEN,02.12.64,9,Berlin,18.08.1989
1834,3:55.54,Anthony Whiteman,GBR,13.11.71,8,London,30.07.2004
1834,3:55.54,Michael East,GBR,20.01.78,5,London,25.07.2008
1834,3:55.54,Trevor Dunbar,USA,29.04.91,5rA,Concord,01.06.2017
1838,3:55.55,Josef Odlozil,CZE,11.11.38,2,London,30.08.1965
1838,3:55.55,Christian Obrist,ITA,20.11.80,11,Roma,12.07.2002
1840,3:55.56,Frank Clement,GBR,26.04.52,5,London,29.08.1975
1840,3:55.56,Jim Spivey,USA,07.03.60,3,Westwood,16.05.1982
1840,3:55.56,Michael Hillardt,AUS,22.01.61,1,Sydney,24.03.1985
1840,3:55.56,Balázs Tölgyesi,HUN,10.01.73,6,Zagreb,07.07.1998
1840,3:55.56,Nick Willis,NZL,25.04.83,2,New York City,03.06.2006
1840,3:55.56,Nick Willis,NZL,25.04.83,1,Wanganui,19.01.2016
1840,3:55.56,Osian Perrin,GBR,21.01.03,7r1,Stirling,24.08.2024
1840,3:55.56,Kasey Knevelbaard,USA,02.09.96,5,Middletown,28.08.2025
1848,3:55.57,Deon Brummer,RSA,04.04.59,2,Stellenbosch,12.11.1988
1848,3:55.57,Abdelkader Chékhémani,FRA,18.07.71,12,Paris,29.07.1998
1848,3:55.57,Tom Mayo,GBR,02.05.77,9,London,22.07.2001
1848,3:55.57,Johnny Gregorek,USA,07.12.91,1,Dublin,22.07.2016
1852,3:55.58,Steve Ovett,GBR,09.10.55,1,Berlin,21.08.1981
1852,3:55.58,Matt Giusto,USA,25.10.66,9,Eugene,26.05.1996
1854,3:55.59,Graham Crouch,AUS,11.01.48,3,Stockholm,01.07.1974
1854,3:55.59,Andrew Coscoran,IRL,18.06.96,1rA,Milano,04.09.2021
1854,3:55.59,Ryan Mphahlele,RSA,20.06.98,1,Cape Town,24.04.2023
1857,3:55.6,Dyrol Burleson,USA,22.04.40,3,Compton,07.06.1963
1857,3:55.6,Wilson Waigwa,KEN,15.02.49,1,Modesto,24.05.1975
1857,3:55.6,Mark Rowland,GBR,07.03.63,3,Harlow,20.08.1989
1857,3:55.60,Brian Berryhill,USA,15.12.77,2,Portland,18.05.2002
1857,3:55.60,Nick McCormick,GBR,11.09.81,6,Oslo,02.06.2006
1857,3:55.60,Ford Palmer,USA,06.10.90,3,Huntington,31.08.2016
1863,3:55.61,Harald Hudak,FRG,28.01.57,4,Berlin,26.08.1977
1863,3:55.61,Jack Buckner,GBR,22.09.61,3,Westwood,18.05.1985
1863,3:55.61,Terrance Herrington,USA,31.07.66,8,Villeneuve d'Ascq,01.07.1991
1866,3:55.62,Deon Brummer,RSA,04.04.59,2,Durban,15.12.1984
1866,3:55.62,Paul Korir,KEN,15.07.77,6,Sheffield,21.08.2005
1866,3:55.62,Dorian Ulrey,USA,11.07.87,5,Eugene,01.06.2012
1866,3:55.62,Johan Cronje,RSA,13.04.82,13,Birmingham,24.08.2014
1866,3:55.62,Robert Biwott,KEN,28.01.96,9,Oslo,09.06.2016
1871,3:55.63,Craig Masback,USA,31.03.55,2,London,09.06.1982
1871,3:55.63,Andreas Busse,GDR,06.05.59,6,Berlin,15.08.1986
1871,3:55.63,John Quade,USA,01.03.67,6,New York City,22.07.1989
1871,3:55.63,Matt Giusto,USA,25.10.66,1,San Francisco,15.05.1993
1871,3:55.63,Hudson Santos de Souza,BRA,25.02.77,6,Eugene,31.05.1998
1871,3:55.63,Jonathan Rankin,USA,09.02.82,3,Malmö,16.08.2005
1871,3:55.63,Youssef Baba,MAR,07.08.79,9,Oslo,06.06.2008
1878,3:55.64,Pat Scammell,AUS,15.04.61,2,Auckland,17.02.1985
1878,3:55.64,Jim Spivey,USA,07.03.60,3,Villanova,14.06.1986
1878,3:55.64,Chuck Aragon,USA,29.03.59,6,Nice,13.07.1987
1878,3:55.64,Jim Spivey,USA,07.03.60,4,Barcelona,15.07.1987
1878,3:55.64,Benjamin Kipkurui,KEN,28.12.80,6,Eugene,26.05.2002
1883,3:55.65,Ari Paunonen,FIN,10.03.58,3,London,26.06.1977
1883,3:55.65,Nathan Brannen,CAN,08.09.82,1,Nashville,08.06.2014
1883,3:55.65,Vincent Kibet,KEN,06.05.91,12rA,Eugene,30.05.2015
1883,3:55.65,Waleed Suliman,USA,22.09.98,4rA,Stirling,30.08.2025
1887,3:55.66,Graham Crouch,AUS,11.01.48,5,Stockholm,09.08.1976
1887,3:55.66,Andrey Zadorozhniy,RUS,13.09.73,7,Bratislava,09.06.1998
1887,3:55.66,Jakub Holusa,CZE,20.02.88,7,London,25.07.2015
1890,3:55.67,Markus Hacksteiner,SUI,18.11.64,2,Helsinki,02.07.1987
1890,3:55.67,Azzedine Sediki,MAR,21.05.70,3,Zürich,17.08.1994
1890,3:55.67,Leonel Manzano,USA,12.09.84,8,London,25.07.2015
1890,3:55.67,Lopez Lomong,USA,01.01.85,8r1,Eugene,27.05.2017
1890,3:55.67,Johnny Gregorek,USA,07.12.91,4,Memphis,25.08.2018
1895,3:55.68,Alan Simpson,GBR,22.05.40,3,London,30.08.1965
1895,3:55.68,Thomas Wessinghage,FRG,22.02.52,1,Zürich,09.07.1976
1895,3:55.68,Peter Wirz,SUI,29.07.60,5,London,11.07.1986
1898,3:55.69,John Walker,NZL,12.01.52,1,London,20.08.1982
1898,3:55.69,Mike Boit,KEN,06.01.49,5,Berlin,21.08.1987
1898,3:55.69,Suleiman Simotwo,KEN,21.04.80,5,New York City,02.06.2007
1898,3:55.69,Thomas Lancashire,GBR,02.07.85,6,London,25.07.2008
1902,3:55.7,Steve Ovett,GBR,09.10.55,1,Dublin,12.07.1978
1902,3:55.7,Steve Scott,USA,05.05.56,2,Berlin,18.08.1978
1902,3:55.7,Suleiman Nyambui,TAN,13.02.53,1,Wien,13.06.1979
1902,3:55.7,Craig Masback,USA,31.03.55,3,Piscataway,23.06.1979
1902,3:55.7,Steve Lacy,USA,17.01.56,3,Westwood,11.05.1980
1902,3:55.7,Ray Flynn,IRL,22.01.57,4,Bruxelles,22.08.1980
1902,3:55.7A,Johan Fourie,RSA,02.12.59,2,Potchefstroom,09.03.1983
1902,3:55.7,Tim Hacker,USA,27.12.62,4,Westwood,06.06.1988
1902,3:55.7+,Martin Keino,KEN,20.06.72,2,Nice,10.07.1996
1902,3:55.70,John Mayock,GBR,26.10.70,2,Gateshead,27.06.1999
1902,3:55.70,Henok Legesse,ETH,19.09.88,7,Oslo,03.07.2009
1902,3:55.70,Nick Willis,NZL,25.04.83,1,Des Moines,27.04.2013
1902,3:55.70,Adam Fogg,GBR,27.01.99,1,Manchester,27.05.2023
1915,3:55.71,Peter Elliott,GBR,09.10.62,1,Gateshead,10.06.1984
1915,3:55.71,Anthony Famiglietti,USA,08.11.78,3,New York City,03.06.2006
1915,3:55.71,Russ Murray,GBR,08.10.90,9,London,25.07.2015
1915,3:55.71,Robert Domanic,USA,10.03.95,1,Dublin,12.07.2017
1915,3:55.71,Seán Donoghue,IRL,22.09.02,8,Dublin,12.07.2024
1920,3:55.72,Steve Cram,GBR,14.10.60,8,London,25.08.1980
1920,3:55.72,Mark Rowland,GBR,07.03.63,6,London,11.07.1986
1920,3:55.72,Mark Rowland,GBR,07.03.63,4,Portsmouth,12.08.1990
1920,3:55.72,Shadrack Korir,KEN,14.12.78,10,London,22.07.2001
1920,3:55.72,Ben Blankenship,USA,15.12.88,1rB,Eugene,30.05.2015
1925,3:55.73,David Moorcroft,GBR,10.04.53,4,London,08.08.1980
1925,3:55.73,Tom Byers,USA,12.04.55,1,Eugene,28.05.1981
1925,3:55.73,Peter Elliott,GBR,09.10.62,2,Cork,03.07.1984
1925,3:55.73,David Krummenacker,USA,24.05.75,7,Zagreb,07.07.1998
1925,3:55.73,Nicholas Griggs,IRL,18.12.04,3,Dublin,14.07.2023
1930,3:55.74,Eamonn Coghlan,IRL,24.11.52,9,London,25.08.1980
1930,3:55.74,Jason Pyrah,USA,06.04.69,6,Eugene,24.06.2000
1932,3:55.75,Christophe Impens,BEL,09.12.69,7,Bruxelles,03.09.1993
1932,3:55.75,Scott Petersen,AUS,14.11.73,5,Melbourne,20.02.1997
1932,3:55.75,Eric Avila,USA,03.10.89,3,Raleigh,02.08.2019
1932,3:55.75,Ferdinand Kvan Edman,NOR,12.02.93,9,Oslo,16.06.2022
1932,3:55.75,Samuel Tanner,NZL,24.08.00,1rA,Wanganui,25.01.2025
1937,3:55.76,Ari Paunonen,FIN,10.03.58,4,Stockholm,07.07.1980
1937,3:55.76,Jean Verster,RSA,23.04.65,3,Stellenbosch,12.11.1988
1937,3:55.76,Jordan McNamara,USA,07.03.87,2,Cork,02.07.2013
1937,3:55.76,Jonathan Sawe,KEN,22.05.95,2rB,Eugene,30.05.2015
1941,3:55.77,Sydney Maree,USA,09.09.56,1,Dublin,14.07.1981
1941,3:55.77,Phil Kane,USA,05.03.55,10,Koblenz,25.08.1982
1941,3:55.77,Tim Hutchings,GBR,04.12.58,3,Gateshead,05.08.1986
1944,3:55.78,Wilson Waigwa,KEN,15.02.49,3,London,09.09.1983
1944,3:55.78,Jake Wightman,GBR,11.07.94,4,Gateshead,13.07.2021
1944,3:55.78,Matthew Ramsden,AUS,23.07.97,1rA,London,28.07.2021
1947,3:55.79,Jens-Peter Herold,GER,02.06.65,9,Lausanne,10.07.1991
1947,3:55.79,Suleiman Simotwo,KEN,21.04.80,7,Ostrava,17.06.2009
1947,3:55.79,David Torrence,USA,26.11.85,1,Falmouth,11.08.2012
1947,3:55.79,Kyle Merber,USA,19.11.90,2,Dublin,22.07.2016
1947,3:55.79,Morgan McDonald,AUS,23.04.96,2,Dublin,12.07.2017
1952,3:55.8,Jim Ryun,USA,29.04.47,1,Lawrence,23.04.1966
1952,3:55.8,Jim Ryun,USA,29.04.47,1r1,Lawrence,17.04.1971
1952,3:55.8,John Walker,NZL,12.01.52,2,Wanganui,09.01.1974
1952,3:55.8,Wilson Waigwa,KEN,15.02.49,3,Berlin,18.08.1978
1952,3:55.8,Ray Flynn,IRL,22.01.57,2,Wien,13.06.1979
1952,3:55.80,Geoff Smith,GBR,24.10.53,1,Cwmbran,15.08.1981
1952,3:55.80,Greg Whiteley,USA,06.01.67,6,Eugene,04.06.1995
1952,3:55.80,Youssef Baba,MAR,07.08.79,8,London,05.08.2000
1952,3:55.80,Edwin Maranga,KEN,15.08.71,3,Gresham,03.06.2001
1952,3:55.80,Timothy Cheruiyot,KEN,20.11.95,3rB,Eugene,30.05.2015
1952,3:55.80,Dawit Wolde,ETH,19.05.91,2rB,Eugene,28.05.2016
1952,3:55.80,Samuel Prakel,USA,29.10.94,1,Dublin,19.07.2018
1952,3:55.80,Joe Waskom,USA,01.04.01,4,Cork,09.07.2024
1952,3:55.80,Kane Elliott,GBR,19.01.02,5rA,Stirling,30.08.2025
1966,3:55.81,Colby Alexander,USA,13.06.91,1,West Long Branch,31.07.2018
1966,3:55.81,Sam Parsons,GER,18.06.94,2rB,Eagle Rock,09.07.2022
1968,3:55.82,Graham Williamson,GBR,15.06.60,2,London,15.09.1978
1968,3:55.82,Steve Lacy,USA,17.01.56,5,Westwood,10.05.1981
1968,3:55.82,Paul Donovan,IRL,11.07.63,3,Cork,03.07.1984
1968,3:55.82,Marcus O'Sullivan,IRL,22.12.61,7,Oslo,21.07.1984
1968,3:55.82,Bennie Greyling,RSA,01.02.65,1,Port Elizabeth,09.03.1988
1968,3:55.82,Seán Donoghue,IRL,22.09.02,10,Dublin,11.07.2025
1974,3:55.83,John Robson,GBR,31.01.57,1,London,02.07.1978
1974,3:55.83,Tom Byers,USA,12.04.55,1,Köln,22.08.1982
1974,3:55.83,Marc Corstjens,BEL,31.08.65,9,Villeneuve d'Ascq,01.07.1991
1974,3:55.83,Rüdiger Stenzel,GER,16.04.68,4,Zürich,17.08.1994
1974,3:55.83,Matt Giusto,USA,25.10.66,7,Eugene,04.06.1995
1974,3:55.83,Charles Philibert-Thiboutot,CAN,31.12.90,9r1,Eugene,27.05.2017
1974,3:55.83,Austen Dalquist,USA,16.11.95,6,Middletown,28.08.2025
1981,3:55.84,Uwe Mönkemeyer,FRG,22.09.59,7,Berlin,15.08.1986
1981,3:55.84,Neil Caddy,GBR,18.03.75,7,Sheffield,25.08.1996
1981,3:55.84,Joeri Jansen,BEL,28.05.79,12,Oslo,29.07.2005
1984,3:55.85,Jens-Peter Herold,GER,02.06.65,5,Zürich,17.08.1994
1984,3:55.85,Franek Haschke,GER,28.03.80,12,Roma,12.07.2002
1984,3:55.85,John Mayock,GBR,26.10.70,8,London,23.08.2002
1984,3:55.85,Cory Leslie,USA,24.10.89,1,Dublin,17.07.2013
1984,3:55.85,Thomas Vanoppen,BEL,19.09.99,8r1,Stirling,24.08.2024
1989,3:55.86,Johan Fourie,RSA,02.12.59,1,Port Elizabeth,13.12.1986
1989,3:55.86,Vénuste Niyongabo,BDI,09.12.73,2,Rieti,05.09.1993
1989,3:55.86,Marcus O'Sullivan,IRL,22.12.61,4,Eugene,25.05.1997
1989,3:55.86,Jeffrey Riseley,AUS,11.11.86,8,London,14.07.2012
1993,3:55.87,Kevin Sullivan,CAN,20.03.74,1,Canton,10.06.2000
1993,3:55.87,Kevin Sullivan,CAN,20.03.74,7,London,25.07.2008
1993,3:55.87,Ayanleh Souleiman,DJI,03.12.92,8rA,Eugene,26.05.2018
1996,3:55.88,Téofilo Benito,ESP,22.07.66,6,Jerez de la Frontera,17.09.1991
1996,3:55.88,Maximillian Thorwirth,GER,09.01.95,2rA,Stirling,26.08.2023
1998,3:55.89,Rolf Gysin,SUI,03.03.55,2,Zürich,09.07.1976
1998,3:55.89,Dave Hill,CAN,26.12.52,5,Berlin,26.08.1977
1998,3:55.89,John Walker,NZL,12.01.52,3,Villanova,30.05.1981
1998,3:55.89,Ray Flynn,IRL,22.01.57,4,Westwood,16.05.1982
1998,3:55.89,David Lelei,KEN,10.05.71,9,Stockholm,05.08.1998
1998,3:55.89,Lorenzo Lazzari,ITA,23.08.74,16,Roma,07.07.1999
1998,3:55.89,Kevin Sullivan,CAN,20.03.74,4,New York City,03.06.2006
1998,3:55.89,Samuel Prakel,USA,29.10.94,1,Cork,18.07.2017
1998,3:55.89,Ben Blankenship,USA,15.12.88,3,Birmingham,20.08.2017
1998,3:55.89,Andrew McGill,GBR,18.02.04,9r1,Stirling,24.08.2024
2008,3:55.9,Merwyn Lincoln,AUS,22.11.37,2,Dublin,06.08.1958
2008,3:55.9,Jim Ryun,USA,29.04.47,1,Walnut,10.08.1968
2008,3:55.9,Jim Ryun,USA,29.04.47,1,Los Angeles,07.06.1969
2008,3:55.9,Brendan Foster,GBR,12.01.48,2,London,10.06.1972
